experiment_id,timestamp,seed,model,peft_method,is_pretrained,fl_algorithm,pred_len,learning_rate,local_epochs,num_rounds_configured,num_rounds_completed,batch_size,num_clients,weight_decay,warmup_rounds,proximal_mu,early_stop_patience,dropout,seq_len,patch_size,stride,num_patches,d_model,hidden_size,kernel_size,llm_layers,lora_r,lora_alpha,lora_dropout,num_trainable_params,num_total_params,model_payload_mb,best_round,best_val_mse,best_val_mae,best_val_rmse,best_test_mse,best_test_mae,best_test_rmse,best_train_mse,first_round_val_loss,final_round_val_loss,val_loss_improvement_pct,overfit_gap,overfit_ratio,converged,loss_trend_last3,early_stopped,early_stop_round,client_val_mae_mean,client_val_mae_std,client_val_mae_min,client_val_mae_max,client_val_mae_best_city,client_val_mae_worst_city,fairness_ratio,payload_per_round_mb,total_comm_mb,comm_to_best_mb,rounds_per_mae_point,total_training_time_sec,total_training_time_min,avg_round_duration_sec,avg_client_train_dur_sec,max_client_train_dur_sec,status,experiment_dir,notes,dataset_name,target_column
centralized_20260219_224949,20260219_224949,,gpt4ts_nonlinear,,,centralized,120,0.0003,1,20,,32,,0.01,3,,5,0.15,336,4,1,334,768,16,3,4,8,16,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,failed,/raid/tin_trungchau/tmp/centralized_20260219_224949,,vnmet,
centralized_20260309_160522,20260309_160522,2021.0,gpt4ts_nonlinear,,,centralized,1,0.0005,1,25,11.0,32,5.0,0.01,1,,5,0.15,336,16,16,22,768,16,3,4,8,16,0.0,1224481.0,68161057.0,260.013798,6.0,0.032405,0.115453,0.173685,0.032106,0.116219,0.173981,0.036801,0.042743,0.0335,24.19,-0.004396,0.8805,True,decreasing,True,11.0,,,,,,,,260.013798,0.0,0.0,2.81,3703.794985,61.729916,336.71,262.16,273.77,early_stopped,/raid/tin_trungchau/tmp/centralized_20260309_160522,,KZMET,
centralized_20260309_160723,20260309_160723,2021.0,gpt4ts_nonlinear,,,centralized,432,0.0005,1,25,6.0,32,5.0,0.01,1,,5,0.15,336,16,16,22,768,16,3,4,8,16,0.0,8507088.0,75443664.0,287.794739,1.0,0.843981,0.701326,0.917127,0.818162,0.68403,0.900679,0.771081,0.843981,0.860272,0.0,0.0729,1.0945,False,increasing,True,6.0,,,,,,,,287.794739,0.0,0.0,,5150.081169,85.834686,858.35,505.16,518.35,early_stopped,/raid/tin_trungchau/tmp/centralized_20260309_160723,,VNMET,
centralized_20260309_160812,20260309_160812,2021.0,gpt4ts_nonlinear,,,centralized,432,0.0005,1,25,6.0,32,5.0,0.01,1,,5,0.15,336,16,16,22,768,16,3,4,8,16,0.0,8507088.0,75443664.0,287.794739,1.0,0.998337,0.780511,0.998186,1.004933,0.782611,1.002142,0.989535,0.998337,1.048634,0.0,0.008802,1.0089,False,increasing,True,6.0,,,,,,,,287.794739,0.0,0.0,,2844.260381,47.40434,474.04,268.1,281.12,early_stopped,/raid/tin_trungchau/tmp/centralized_20260309_160812,,KZMET,
centralized_20260309_165604,20260309_165604,2021.0,gpt4ts_nonlinear,,,centralized,432,0.0003,1,25,6.0,32,5.0,0.01,1,,5,0.15,336,16,16,22,768,16,3,4,8,16,0.0,8507088.0,75443664.0,287.794739,1.0,0.998671,0.78023,0.998353,1.002077,0.781041,1.000708,0.988518,0.998671,1.058501,0.0,0.010153,1.0103,False,increasing,True,6.0,,,,,,,,287.794739,0.0,0.0,,2843.948365,47.399139,473.99,264.58,267.52,early_stopped,/raid/tin_trungchau/tmp/centralized_20260309_165604,,KZMET,
centralized_20260309_170731,20260309_170731,2021.0,gpt4ts_nonlinear,,,centralized,72,0.0005,1,25,9.0,32,5.0,0.01,1,,5,0.15,336,16,16,22,768,16,3,4,8,16,0.0,2424168.0,69360744.0,264.59024,4.0,0.899908,0.731219,0.947741,0.900984,0.731321,0.948939,0.877752,0.901391,0.977473,0.16,0.022156,1.0252,False,increasing,True,9.0,,,,,,,,264.59024,0.0,0.0,15.96,3177.084596,52.95141,353.01,256.42,270.44,early_stopped,/raid/tin_trungchau/tmp/centralized_20260309_170731,,KZMET,
centralized_20260309_173333,20260309_173333,2021.0,gpt4ts_nonlinear,,,centralized,432,0.0003,1,25,7.0,32,5.0,0.01,1,,5,0.15,336,16,16,22,768,16,3,4,8,16,0.0,8507088.0,75443664.0,287.794739,2.0,0.847967,0.707672,0.919059,0.817396,0.68797,0.900213,0.757505,0.849095,0.888226,0.13,0.090462,1.1194,False,increasing,True,7.0,,,,,,,,287.794739,0.0,0.0,,5956.122527,99.268709,850.87,502.63,523.0,early_stopped,/raid/tin_trungchau/tmp/centralized_20260309_173333,,VNMET,
centralized_20260309_174353,20260309_174353,2021.0,gpt4ts_nonlinear,,,centralized,432,0.001,1,25,7.0,32,5.0,0.01,1,,5,0.15,336,16,16,22,768,16,3,4,8,16,0.0,8507088.0,75443664.0,287.794739,2.0,1.000377,0.780906,0.999156,1.004285,0.781876,1.001792,0.986724,1.000652,1.032475,0.03,0.013653,1.0138,False,increasing,True,7.0,,,,,,,,287.794739,0.0,0.0,,3338.195143,55.636586,476.88,270.84,277.82,early_stopped,/raid/tin_trungchau/tmp/centralized_20260309_174353,,KZMET,
centralized_20260309_180054,20260309_180054,2021.0,gpt4ts_nonlinear,,,centralized,1,0.0003,1,25,17.0,32,5.0,0.01,1,,5,0.15,336,16,16,22,768,16,3,4,8,16,0.0,1224481.0,68161057.0,260.013798,12.0,0.031408,0.113723,0.171035,0.031054,0.11459,0.171118,0.032865,0.044566,0.033004,29.52,-0.001457,0.9557,True,decreasing,True,17.0,,,,,,,,260.013798,0.0,0.0,3.97,5598.517853,93.308631,329.32,255.85,274.99,early_stopped,/raid/tin_trungchau/tmp/centralized_20260309_180054,,KZMET,
centralized_20260309_191321,20260309_191321,2021.0,gpt4ts_nonlinear,,,centralized,432,0.001,1,25,7.0,32,5.0,0.01,1,,5,0.15,336,16,16,22,768,16,3,4,8,16,0.0,8507088.0,75443664.0,287.794739,2.0,0.841001,0.702382,0.915422,0.81379,0.684333,0.898254,0.768126,0.869965,0.848473,3.33,0.072875,1.0949,False,decreasing,True,7.0,,,,,,,,287.794739,0.0,0.0,1.09,5861.584635,97.693077,837.37,497.8,499.93,early_stopped,/raid/tin_trungchau/tmp/centralized_20260309_191321,,VNMET,
